name,price,comnum,link
 Python编程 从入门到实践,62.0,70327,http://product.dangdang.com/24003310.html
 Python学习手册（原书第5版）,173.0,472,http://product.dangdang.com/25576578.html
 Python编程快速上手 让繁琐工作自动化（Python3编程从入门到实践 新手学习必备用书）,61.4,15566,http://product.dangdang.com/23997502.html
 Python从菜鸟到高手,88.3,2176,http://product.dangdang.com/25333314.html
 Python核心编程 第3版,68.3,18825,http://product.dangdang.com/23961748.html
 Python从小白到大牛,79.2,627,http://product.dangdang.com/25574315.html
 Python基础教程（第3版）,78.2,11250,http://product.dangdang.com/25218035.html
 利用Python进行数据分析（原书第2版）,94.0,4649,http://product.dangdang.com/25312917.html
 Python Cookbook（第3版）中文版,74.5,5349,http://product.dangdang.com/23690527.html
 笨办法学Python 3,52.5,6762,http://product.dangdang.com/25286312.html
 对比Excel，轻松学习Python数据分析,52.5,489,http://product.dangdang.com/26512595.html
 Python神经网络编程,47.6,5475,http://product.dangdang.com/25251315.html
 疯狂Python讲义,105.0,295,http://product.dangdang.com/25580336.html
 Python编程（第四版）,136.6,7063,http://product.dangdang.com/23617284.html
 Python编程从入门到精通,70.3,688,http://product.dangdang.com/25536364.html
 Python金融大数据分析,78.2,5187,http://product.dangdang.com/23814720.html
 Python从入门到精通,71.0,135,http://product.dangdang.com/25535707.html
 精通Python爬虫框架Scrapy,52.5,4202,http://product.dangdang.com/25227022.html
 Python编程无师自通 专业程序员的养成,52.5,242,http://product.dangdang.com/26440157.html
 Python 3网络爬虫开发实战,78.2,7027,http://product.dangdang.com/25249602.html
 教孩子学编程 Python语言版,52.5,9160,http://product.dangdang.com/23928893.html
 Python编程之美：最佳实践指南,79.2,367,http://product.dangdang.com/25336768.html
 用Python写网络爬虫 第2版,43.6,1351,http://product.dangdang.com/25303745.html
 Python统计分析,54.5,197,http://product.dangdang.com/26184453.html
 Python算法教程,61.4,3939,http://product.dangdang.com/23834026.html
 Python自然语言处理,61.4,3989,http://product.dangdang.com/23503127.html
 Python经典实例,109.8,3,http://product.dangdang.com/26913257.html
 物联网应用设计与实战：基于AVR单片机和Python,46.6,17,http://product.dangdang.com/26440992.html
 Python数据分析 第2版,47.6,937,http://product.dangdang.com/25278605.html
 深入浅出Python机器学习,49.4,832,http://product.dangdang.com/25314043.html
 Python Web自动化测试设计与实现,62.4,6,http://product.dangdang.com/26917182.html
 Python 黑帽子：黑客与渗透测试编程之道,37.9,3171,http://product.dangdang.com/23754436.html
 流畅的Python,109.8,3420,http://product.dangdang.com/25071121.html
 Python核心编程（第二版）(Python领域经典作品、非常有名的开发指南),61.4,14222,http://product.dangdang.com/20255354.html
 Python 3标准库,157.2,425,http://product.dangdang.com/25534855.html
 Python深度学习,94.0,2845,http://product.dangdang.com/25324199.html
 Python游戏编程入门,38.6,1693,http://product.dangdang.com/23628345.html
 Python项目案例开发从入门到实战——爬虫、游戏和机器学习,71.0,112,http://product.dangdang.com/26436548.html
 码农翻身（好玩有趣的编程知识）,61.4,11609,http://product.dangdang.com/25276414.html
 Python语言程序设计基础（第2版）,32.7,762,http://product.dangdang.com/24189864.html
 Python高性能编程,62.4,1026,http://product.dangdang.com/25098886.html
 Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现,61.4,2423,http://product.dangdang.com/25107201.html
 Python绝技：运用Python成为顶级黑客,70.3,4312,http://product.dangdang.com/23839735.html
 基于Python的大数据分析基础及实战,48.1,2050,http://product.dangdang.com/25307829.html
 Python 3 面向对象编程（第2版）,88.1,335,http://product.dangdang.com/25301983.html
 Python机器学习实践指南,61.4,6123,http://product.dangdang.com/25066760.html
 数据结构 Python语言描述,61.4,3653,http://product.dangdang.com/25195904.html
 Python编程从零基础到项目实战（微课视频版）,63.0,1560,http://product.dangdang.com/25479735.html
 Python大战机器学习：数据科学家的第一个小目标,61.4,2127,http://product.dangdang.com/24195827.html
 Python数据分析与挖掘实战,54.5,6241,http://product.dangdang.com/23818948.html
 Python 3爬虫、数据清洗与可视化实战,38.7,859,http://product.dangdang.com/25253348.html
 Python数据分析与应用,44.3,425,http://product.dangdang.com/25249785.html
 Python 3.7从零开始学,62.4,261,http://product.dangdang.com/25351140.html
 Python机器学习基础教程,62.4,2303,http://product.dangdang.com/25232007.html
 Python机器学习,54.5,4,http://product.dangdang.com/26514294.html
 Head First Python(第二版),88.3,2242,http://product.dangdang.com/25216230.html
 量化投资：以Python为工具,87.4,2680,http://product.dangdang.com/24169768.html
 Python量化交易实战入门与技巧,61.4,174,http://product.dangdang.com/25343972.html
 Python科学计算(第2版),93.2,1786,http://product.dangdang.com/23957701.html
 小天才学Python,28.4,0,http://product.dangdang.com/26918604.html
 Python网络爬虫实例教程(视频讲解版) 齐文光 人民邮电出版社 9787115484659【新华书店】,49.8,0,http://product.dangdang.com/1362115088.html
 Python爬虫开发 从入门到实战(微课版) 谢乾坤 人民邮电出版社 9787115490995【新华书店】,49.8,0,http://product.dangdang.com/1362084588.html
 Python数据分析与应用 黄红梅 张良均 人民邮电出版社 9787115373045【新华书店】,49.8,0,http://product.dangdang.com/1362049288.html
" Python in 24 Hours, Sams Teach Yourself (2nd Edition) [ISBN",338.0,0,http://product.dangdang.com/1362041526.html
 Python网络数据爬取及分析从入门到精通(分析篇)(内容讲解专业但不晦涩 实例分析实际但不枯燥) 杨秀璋 颜娜 北京,59.8,0,http://product.dangdang.com/1361908888.html
 Python网络数据爬取及分析从入门到精通(爬取篇)(内容讲解专业但不晦涩 实例分析实际但不枯燥) 杨秀璋 颜娜 北京,59.8,0,http://product.dangdang.com/1361897288.html
 Python数据爬取技术与实战手册 郭卡 戴亮 中国铁道出版社 9787113245221【新华书店】,59.8,0,http://product.dangdang.com/1361903588.html
 Python全栈数据工程师养成攻略(视频讲解版) 张宏伦 人民邮电出版社 9787115468697【新华书店】,59.8,0,http://product.dangdang.com/1361842188.html
 Python测试之道 杨燕琳 朱圣洲 石贇 人民邮电出版社 9787115479518【新华书店】,59.8,0,http://product.dangdang.com/1361820188.html
 Python编程从入门到精通 叶维忠 人民邮电出版社 9787115478801【新华书店】,79.0,0,http://product.dangdang.com/1361691088.html
 Python绝技：运用Python成为数据工程师 黄文青 电子工业出版社 9787121336546【新华书店】,79.0,0,http://product.dangdang.com/1361674088.html
 Python量化交易实战入门与技巧 王征 李晓波 中国铁道出版社 9787113248772【新华书店】,69.0,0,http://product.dangdang.com/1361528288.html
 Python与机器学习实战：决策树 集成学习 支持向量机与神经网络算法详解及编程实现 何宇健著 电子工业出版社 978,69.0,0,http://product.dangdang.com/1361241988.html
 Python即学即用 张燕妮 机械工业出版社 9787111539896【新华书店】,50.0,0,http://product.dangdang.com/1361085888.html
 Python机器学习实战 裔隽 科学技术文献出版社 9787518938087【新华书店】,68.0,0,http://product.dangdang.com/1360871288.html
 Python程序设计任务驱动式教程 郑凯梅 清华大学出版社 9787302490463【新华书店】,59.0,0,http://product.dangdang.com/1360751188.html
 Python机器学习实践：测试驱动的开发方法 [美] 马修·柯克(Matthew Kirk) 机械工业出版社 9787,59.0,0,http://product.dangdang.com/1360303188.html
 Python大学教程 张基温 清华大学出版社 9787302504542【新华书店】,69.0,0,http://product.dangdang.com/1360075688.html
 Python量化交易实战入门与技巧 正版 王征;李晓波 9787113248772,34.83,0,http://product.dangdang.com/1468376239.html
" Python与有限元 正版 裴尧尧,肖衡林,马强,李 9787517053705",31.24,0,http://product.dangdang.com/1468374739.html
 Python数据分析 正版 韦斯麦金尼(Wes McKinney) 9787111603702,163.35,0,http://product.dangdang.com/1468374439.html
 Python编程快速上手 让繁琐工作自动化 [美] Al Sweigart 斯维加特 人民邮电出版社 97871154,69.0,0,http://product.dangdang.com/1359426388.html
 Python神经网络编程 [英]塔里克·拉希德(Tariq Rashid) 人民邮电出版社 9787115474810,69.0,0,http://product.dangdang.com/1359426988.html
 正版书籍 9787115230270 Python基础教程(第2版) (经典教程的全新改版、10个项目引人入胜) (挪,38.0,0,http://product.dangdang.com/1467650923.html
 Python Web开发学习实录(配光盘)(Web程序员成功之路) 李勇 王文强著 清华大学出版社 978730226,66.0,0,http://product.dangdang.com/1358972888.html
 Python数据可视化 (印)科斯·拉曼(Kirthi Raman) 机械工业出版社 9787111560906【新华,69.0,0,http://product.dangdang.com/1357250788.html
 Python数据分析基础 [美]克林顿布朗利(Clinton W. Brownley) 人民邮电出版社 9787115,69.0,0,http://product.dangdang.com/1357176188.html
 Python机器学习 预测分析核心算法 [美] Michael Bowles 鲍尔斯 人民邮电出版社 97871154,69.0,0,http://product.dangdang.com/1357172288.html
 Python3 6编程实践指南 计算机科学入门 原书第3版 Paul Gries Jennifer Campbell,69.0,0,http://product.dangdang.com/1357144088.html
 Python高手之路 第3版 【法】朱利安·丹乔(Julien Danjou) 人民邮电出版社 97871154371,55.0,0,http://product.dangdang.com/1357105388.html
 Python科学计算实践 SciPy指南 [澳]胡安 努内兹 伊格莱西亚斯(Juan Nunez-Iglesias),69.0,0,http://product.dangdang.com/1357096688.html
 Python基础教程(第2版 修订版) 9787115353528 (挪)海特兰德 人民邮电出版社,79.0,0,http://product.dangdang.com/1355263116.html
